N̼meros,Letras,Datas,,Valor,Hora
1,a,18/07/2023,,100,12:10:00
2,b,19/07/2023,,150,13:15:12
3,c,19/07/2023,,120,16:32:25
4,a,19/07/2023,,130,08:25:45
,,,,,
,,,,,
5,b,20/07/2023,,140,09:15:45
6,c,20/07/2023,,150,10:00:01
7,b,20/07/2023,,100,13:00:00
8,b,21/07/2023,,120,12:10:00
9,c,21/07/2023,,110,13:15:12
10,b,21/07/2023,,110,16:32:25
11,a,21/07/2023,,120,08:25:45
12,b,21/07/2023,,130,09:15:45
13,a,21/07/2023,,140,10:00:01
14,b,22/07/2023,,150,13:00:00
15,c,22/07/2023,,120,12:10:00
16,a,23/07/2023,,140,13:15:12
17,b,23/07/2023,,130,16:32:25
18,c,23/07/2023,,110,08:25:45
19,a,23/07/2023,,120,09:15:45
20,c,23/07/2023,,120,10:00:01